id,date,dow,opponent,opponentType,opponentCustom,stance,stadium,stadiumType,stadiumCustom,cancel,scoreMyTeam,scoreOpponent,comment,satisfaction
1777301839541,2025-08-15,金曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,4,,2
1777301967044,2025-07-26,土曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ビジター,明治神宮野球場,明治神宮野球場,,false,1,2,,2
1777302021429,2025-07-27,日曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ビジター,明治神宮野球場,明治神宮野球場,,false,2,3,,2
1777302105430,2025-07-21,月曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,0,1,,1
1777302139266,2025-06-27,金曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,2,,3
1777302261124,2025-06-28,土曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,2,,2
1777302871453,2025-06-06,金曜日,千葉ロッテマリーンズ,千葉ロッテマリーンズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,2,,3
1777302938482,2025-05-01,木曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,2,,3
1777303022307,2026-04-18,土曜日,千葉ロッテマリーンズ,千葉ロッテマリーンズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,2,初ホームランテラス,3
1777303333244,2024-11-13,水曜日,オーストラリア,__intl__,オーストラリア,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,9,3,,3
1777303426358,2024-10-05,土曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,3,田島引退試合＆福永サヨナラ,4
1777303469126,2024-09-18,水曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,8,,2
1777303508975,2024-09-12,木曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,4,9,,2
1777303546431,2024-07-06,土曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,1,,3
1777303589979,2024-06-28,金曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,5,,2
1777303654323,2024-06-22,土曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,3,,2
1777303691005,2024-06-09,日曜日,東北楽天ゴールデンイーグルス,東北楽天ゴールデンイーグルス,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,1,,3
1777303730147,2024-06-08,土曜日,東北楽天ゴールデンイーグルス,東北楽天ゴールデンイーグルス,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,7,,2
1777303773457,2024-04-29,月曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,11,1,,4
1777303810294,2024-04-14,日曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,2,,2
1777303844440,2024-04-04,木曜日,読売ジャイアンツ,読売ジャイアンツ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,0,2,,1
1777303885239,2024-03-15,金曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,0,0,,2
1777303922605,2023-10-03,火曜日,読売ジャイアンツ,読売ジャイアンツ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,3,,2
1777303952033,2023-09-25,月曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,1,,3
1777303992084,2023-09-23,土曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ビジター,横浜スタジアム,横浜スタジアム,,false,4,3,,4
1777304098525,2023-09-22,金曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ビジター,横浜スタジアム,横浜スタジアム,,true,-,-,,2
1777304150964,2023-08-31,木曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,6,,2
